name,gpu_chip,released,bus,memory,gpu_clock,memory_clock,shaders/TMUs/ROPs,TDP
Quadro NVS 120M,G72,"Jun 1st, 2006",MXM-III,"512 MB, DDR2, 64 bit",450 MHz,700 MHz,4 / 3 / 4 / 2,10
Quadro NVS 130M,G86,"May 9th, 2007",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",400 MHz,700 MHz,8 / 8 / 4,10
Quadro NVS 135M,G86,"May 9th, 2007",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",400 MHz,594 MHz,16 / 8 / 4,10
Quadro NVS 140M,G86,"May 9th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",400 MHz,600 MHz,16 / 8 / 4,10
Quadro NVS 150M,G98,"Aug 15th, 2008",MXM-I,"256 MB, GDDR3, 64 bit",530 MHz,700 MHz,8 / 4 / 4,10
Quadro NVS 280 SD,NV18C,"May 31st, 2005",AGP 8x,"64 MB, DDR, 64 bit",250 MHz,200 MHz,2 / 0 / 4 / 2,10
Quadro NVS 50 PCI,NV18,"May 31st, 2005",PCI,"64 MB, DDR, 64 bit",250 MHz,200 MHz,2 / 0 / 4 / 2,10
Quadro NVS 55 PCI,NV34B,"May 31st, 2005",PCI,"64 MB, DDR, 64 bit",250 MHz,200 MHz,4 / 2 / 4 / 4,10
Quadro4 100 NVS,NV17,"Dec 22nd, 2003",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2,10
Quadro4 100 NVS PCI,NV17,"Dec 22nd, 2003",PCI,"64 MB, DDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2,10
Playstation GPU 350nm,GTE-2,"Nov 13th, 1997",IGP,"1 MB, SGRAM, 32 bit",53 MHz,33 MHz,2 / 1 / 3 / 1,10
Radeon HD 6370M,Robson,"Nov 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",750 MHz,800 MHz,80 / 8 / 4,11
Radeon HD 7370M,Robson,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",750 MHz,800 MHz,80 / 8 / 4,11
Radeon HD 7510M,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",450 MHz,800 MHz,400 / 20 / 8,11
Radeon HD 7530M,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",450 MHz,900 MHz,400 / 24 / 8,11
Mobility Radeon HD 5450,Park,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,667 MHz,80 / 8 / 4,11
Mobility Radeon HD 5450,Park,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",675 MHz,800 MHz,80 / 8 / 4,11
GeForce 8400M GS,G86,"May 9th, 2007",MXM-I,"256 MB, DDR2, 64 bit",400 MHz,400 MHz,16 / 8 / 4,11
NVS 2100M,GT218,"Jan 7th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",535 MHz,790 MHz,16 / 8 / 4,11
Quadro NVS 210S,C51,"Dec 22nd, 2003",PCI,System Shared,425 MHz,System Shared,2 / 1 / 2 / 1,11
Quadro4 200 NVS,NV17,"Dec 22nd, 2003",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,2 / 0 / 4 / 2,11
Playstation GPU 600nm,GTE,"Dec 3rd, 1994",IGP,"1 MB, VRAM, 32 bit",53 MHz,33 MHz,2 / 1 / 3 / 1,11
Mobility Radeon HD 3430,M82,"Jul 25th, 2008",MXM-II,"256 MB, DDR2, 64 bit",450 MHz,400 MHz,40 / 4 / 4,12
Radeon 9500,R300,"Mar 1st, 2003",AGP 8x,"64 MB, DDR, 256 bit",275 MHz,270 MHz,4 / 4 / 4 / 4,12
Radeon 9600,RV350,"Oct 1st, 2003",AGP 8x,"64 MB, DDR, 128 bit",324 MHz,189 MHz,4 / 2 / 4 / 4,12
GeForce 410M,GF119,"Jan 5th, 2011",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",574 MHz,800 MHz,48 / 8 / 4,12
GeForce 610,GF119,"Dec 1st, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",738 MHz,900 MHz,48 / 8 / 4,12
GeForce 610M,GF108,"Dec 1st, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",672 MHz,800 MHz,48 / 8 / 2,12
GeForce 610M,GF117,"Dec 1st, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",625 MHz,900 MHz,48 / 8 / 8,12
GeForce 610M,GF119,"Dec 1st, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",738 MHz,900 MHz,48 / 8 / 4,12
GeForce 8200M G mGPU AMD,C77,"Jun 3rd, 2008",PCIe 2.0 x16,System Shared,400 MHz,System Shared,16 / 4 / 4,12
GeForce 8200M G mGPU Intel,C79,"Jun 3rd, 2008",PCIe 2.0 x16,System Shared,400 MHz,System Shared,16 / 8 / 4,12
GeForce 9100M G mGPU AMD,C77,"Jul 29th, 2008",PCIe 2.0 x16,System Shared,450 MHz,System Shared,16 / 4 / 4,12
GeForce 9100M G mGPU Intel,C79,"Jul 29th, 2008",PCIe 2.0 x16,System Shared,450 MHz,System Shared,8 / 8 / 4,12
GeForce 9200M,C79,"Oct 15th, 2008",PCIe 2.0 x16,System Shared,450 MHz,System Shared,16 / 8 / 4,12
GeForce 9400M,C79,"Oct 15th, 2008",PCIe 2.0 x16,System Shared,580 MHz,System Shared,16 / 8 / 4,12
GeForce 9400M,C79,"Oct 15th, 2008",PCIe 2.0 x16,System Shared,450 MHz,System Shared,16 / 8 / 4,12
GeForce 9400M G,C79,"Oct 15th, 2008",PCIe 2.0 x16,System Shared,450 MHz,System Shared,16 / 8 / 4,12
GeForce GT 415M,GF108,"Sep 3rd, 2010",PCIe 2.0 x16,"512 MB, DDR3, 128 bit",500 MHz,800 MHz,48 / 8 / 4,12
GeForce GT 520M,GF119,"Jan 5th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",740 MHz,800 MHz,48 / 8 / 4,12
GeForce GT 520M,GF108,"Jan 5th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",672 MHz,800 MHz,48 / 8 / 4,12
Quadro NVS 160M,G98,"Aug 15th, 2008",MXM-I,"256 MB, GDDR3, 64 bit",580 MHz,700 MHz,8 / 4 / 4,12
Radeon HD 7570M,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",500 MHz,800 MHz,480 / 24 / 16,13
GMA 3000,Broadwater,"Jun 1st, 2006",FSB,System Shared,667 MHz,System Shared,4 / 0 / 4 / 4,13
GMA 3000,Broadwater,"Jun 1st, 2006",FSB,System Shared,667 MHz,System Shared,4 / 0 / 4 / 4,13
GMA 3000,Broadwater,"Jun 1st, 2006",FSB,System Shared,400 MHz,System Shared,4 / 0 / 4 / 4,13
GMA 3000,Lakeport,"Jul 1st, 2006",FSB,System Shared,400 MHz,System Shared,4 / 0 / 4 / 4,13
GMA 3100,Bearlake,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,4 / 0 / 4 / 4,13
GMA 3100,Bearlake,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,8 / 1 / 8 / 1,13
GMA 3100,Bearlake,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,4 / 0 / 4 / 4,13
GMA 3150,Pineview,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,16 / 2 / 1,13
GMA 3150,Pineview,"May 9th, 2007",PCI,System Shared,400 MHz,System Shared,16 / 2 / 1,13
GMA 3600,Cedarview,"Oct 1st, 2008",PCI,System Shared,400 MHz,System Shared,32 / 4 / 1,13
GMA 3650,Cedarview,"Oct 1st, 2008",PCI,System Shared,640 MHz,System Shared,32 / 4 / 1,13
GMA X3000,Broadwater,"Jun 1st, 2006",FSB,System Shared,667 MHz,System Shared,4 / 0 / 4 / 4,13
GMA X3000,Broadwater,"Jun 1st, 2006",FSB,System Shared,500 MHz,System Shared,8 / 1 / 8 / 1,13
GMA X3100,Broadwater,"May 9th, 2007",FSB,System Shared,500 MHz,System Shared,8 / 1 / 8 / 1,13
GMA X3100,Crestline,"May 9th, 2007",FSB,System Shared,500 MHz,System Shared,8 / 1 / 8 / 1,13
GMA X3500,Bearlake,"Aug 1st, 2007",FSB,System Shared,667 MHz,System Shared,8 / 1 / 8 / 1,13
GMA X4500,Eaglelake,"Jun 1st, 2008",FSB,System Shared,533 MHz,System Shared,80 / 10 / 1,13
GMA X4500M,Eaglelake,"Oct 1st, 2008",FSB,System Shared,400 MHz,System Shared,80 / 10 / 1,13
GMA X4500MHD,Cantiga,"Sep 1st, 2008",FSB,System Shared,533 MHz,System Shared,80 / 10 / 1,13
GMA X4700MHD,Montevina,"Oct 1st, 2008",FSB,System Shared,640 MHz,System Shared,80 / 10 / 1,13
GeForce 9200M GS,G98,"Jun 3rd, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",550 MHz,700 MHz,8 / 4 / 4,13
GeForce 9300M G,G86,"Feb 1st, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",400 MHz,600 MHz,16 / 8 / 4,13
GeForce 9300M GS,G98,"Jun 4th, 2008",MXM-I,"256 MB, GDDR3, 64 bit",550 MHz,700 MHz,8 / 4 / 4,13
Quadro NVS 280 AGP,NV34,"May 25th, 2004",AGP 8x,"64 MB, DDR, 128 bit",275 MHz,250 MHz,4 / 2 / 4 / 4,13
Quadro NVS 280 PCI,NV34B,"Oct 28th, 2003",PCI,"64 MB, DDR, 64 bit",275 MHz,250 MHz,4 / 2 / 4 / 4,13
Quadro NVS 280 PCIe,NV37,"May 25th, 2004",PCIe 1.0 x16,"64 MB, DDR, 128 bit",275 MHz,250 MHz,4 / 2 / 4 / 4,13
Radeon HD 7550M,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",450 MHz,900 MHz,400 / 20 / 8,14
Radeon HD 7550M,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",500 MHz,900 MHz,480 / 24 / 16,14
GeForce 305M,GT218,"Jan 10th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",525 MHz,700 MHz,16 / 8 / 4,14
GeForce 310M,GT218,"Jan 10th, 2010",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",606 MHz,667 MHz,16 / 8 / 4,14
GeForce 310M,GT218,"Jan 10th, 2010",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",625 MHz,790 MHz,16 / 8 / 4,14
GeForce 310M,GT218,"Jan 10th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,800 MHz,16 / 8 / 4,14
GeForce 315M,GT218,"Jan 5th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",606 MHz,800 MHz,16 / 8 / 4,14
GeForce 405M,GT218,"Jan 5th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",606 MHz,800 MHz,16 / 8 / 4,14
GeForce 8400M GT,G86,"May 9th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",450 MHz,600 MHz,16 / 8 / 4,14
GeForce G102M,C79,"Jan 8th, 2009",PCIe 1.0 x16,System Shared,450 MHz,System Shared,16 / 8 / 4,14
GeForce G103M,G98,"Sep 1st, 2009",PCIe 1.0 x16,"512 MB, DDR2, 64 bit",640 MHz,500 MHz,8 / 4 / 4,14
GeForce G105M,GT218,"Dec 14th, 2009",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",535 MHz,790 MHz,16 / 8 / 4,14
GeForce G105M,G98,"Jan 8th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",640 MHz,700 MHz,8 / 4 / 4,14
GeForce G105M,GT218,"Jul 16th, 2009",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",500 MHz,700 MHz,16 / 8 / 4,14
GeForce G110M,G96C,"Jan 8th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",400 MHz,700 MHz,16 / 8 / 4,14
GeForce G205M,C79,"Jan 8th, 2009",PCIe 1.0 x16,System Shared,450 MHz,System Shared,16 / 8 / 4,14
GeForce G210M,GT218,"Jun 15th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,800 MHz,16 / 8 / 4,14
GeForce GT 120M,G96C,"Jun 15th, 2009",PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",500 MHz,500 MHz,32 / 16 / 8,14
GeForce GT 120M Mac Edition,G96C,"Dec 12th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",500 MHz,792 MHz,32 / 16 / 8,14
GeForce GT 220M,G96C,"Jun 15th, 2009",MXM-II,"512 MB, GDDR3, 128 bit",500 MHz,800 MHz,32 / 16 / 8,14
GeForce GT 320M,G96C,"Jun 15th, 2009",MXM-II,"512 MB, GDDR3, 128 bit",500 MHz,800 MHz,32 / 16 / 8,14
NVS 3100M,GT218,"Jan 7th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",606 MHz,790 MHz,16 / 8 / 4,14
Atari VCS 400 GPU,Banded Kestrel,"Dec 14th, 2020",IGP,"4 GB, DDR4, 128 bit",300 MHz,1200 MHz,192 / 12 / 4,15
Atari VCS 800 GPU,Banded Kestrel,"Dec 14th, 2020",IGP,"8 GB, DDR4, 128 bit",300 MHz,1200 MHz,192 / 12 / 4,15
Radeon Graphics 320SP,Renoir,"Jan 6th, 2020",IGP,System Shared,400 MHz,System Shared,320 / 20 / 8,15
Radeon Graphics 384SP,Renoir,"Jan 6th, 2020",IGP,System Shared,400 MHz,System Shared,384 / 24 / 8,15
Radeon Graphics 448SP,Renoir,"Jan 6th, 2020",IGP,System Shared,400 MHz,System Shared,448 / 28 / 8,15
Radeon Graphics 512SP,Renoir,Unknown,IGP,System Shared,400 MHz,System Shared,512 / 32 / 8,15
Radeon Graphics 512SP,Renoir,"Mar 7th, 2020",IGP,System Shared,400 MHz,System Shared,512 / 32 / 8,15
Radeon R2 Mobile Graphics,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,128 / 8 / 4,15
Radeon R3 Mobile Graphics,Beema,"Jan 28th, 2015",IGP,System Shared,600 MHz,System Shared,128 / 8 / 4,15
Radeon R3 Mobile Graphics,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,128 / 8 / 4,15
Radeon R4 Mobile Graphics,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,192 / 12 / 8,15
Radeon R5 Graphics,Spectre SL,"Sep 17th, 2014",IGP,System Shared,497 MHz,System Shared,256 / 16 / 4,15
Radeon R5 Graphics,Spectre SL,"Sep 17th, 2014",IGP,System Shared,758 MHz,System Shared,256 / 16 / 4,15
Radeon R5 Graphics,Wani,"Sep 5th, 2017",IGP,System Shared,200 MHz,System Shared,384 / 24 / 8,15
Radeon R5 Mobile Graphics,Wani,"Nov 7th, 2015",IGP,System Shared,200 MHz,System Shared,384 / 24 / 8,15
Radeon R5 Mobile Graphics,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,192 / 12 / 8,15
Radeon R6 Mobile Graphics,Wani,"Nov 7th, 2015",IGP,System Shared,200 MHz,System Shared,384 / 24 / 8,15
Radeon R7 Mobile Graphics,Wani,"Nov 15th, 2015",IGP,System Shared,200 MHz,System Shared,512 / 32 / 8,15
Radeon RX Vega 11,Picasso,"Jul 7th, 2019",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8,15
Radeon RX Vega 11 Mobile,Picasso,"Oct 22nd, 2019",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8,15
Radeon Vega 10 Mobile,Picasso,"Jan 6th, 2019",IGP,System Shared,300 MHz,System Shared,640 / 40 / 8,15
Radeon Vega 10 Mobile,Picasso,"Apr 8th, 2019",IGP,System Shared,300 MHz,System Shared,640 / 40 / 8,15
Radeon Vega 11,Picasso,"Sep 30th, 2019",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8,15
Radeon Vega 3,Picasso,"Nov 20th, 2019",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4,15
Radeon Vega 3 Embedded,Raven,"Feb 13th, 2018",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4,15
Radeon Vega 3 Embedded,Raven,"Jul 16th, 2018",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4,15
Radeon Vega 3 Embedded,Raven,"Sep 6th, 2018",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4,15
Radeon Vega 3 Mobile,Raven,"Jan 8th, 2018",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4,15
Radeon Vega 3 Mobile,Picasso,"Jan 6th, 2019",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4,15
Radeon Vega 3 Mobile,Picasso,"Jan 6th, 2020",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4,15
Radeon Vega 6 Embedded,Raven,"May 10th, 2018",IGP,System Shared,300 MHz,System Shared,384 / 24 / 8,15
Radeon Vega 6 Mobile,Raven,"Jan 8th, 2019",IGP,System Shared,300 MHz,System Shared,384 / 24 / 8,15
Radeon Vega 6 Mobile,Raven,"Jan 8th, 2018",IGP,System Shared,300 MHz,System Shared,384 / 24 / 8,15
Radeon Vega 6 Mobile,Picasso,"Jan 6th, 2019",IGP,System Shared,300 MHz,System Shared,384 / 24 / 8,15
Radeon Vega 8,Picasso,"Jul 7th, 2019",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8,15
Radeon Vega 8 Embedded,Raven,"Feb 13th, 2018",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8,15
Radeon Vega 8 Mobile,Picasso,"Apr 8th, 2019",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8,15
Radeon Vega 8 Mobile,Picasso,"Jan 6th, 2019",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8,15
Radeon Vega 9 Mobile,Picasso,"Oct 22nd, 2019",IGP,System Shared,300 MHz,System Shared,576 / 36 / 8,15
HD Graphics 510,Skylake GT1,"Sep 1st, 2015",Ring Bus,System Shared,300 MHz,System Shared,96 / 12 / 3,15
HD Graphics 510,Skylake GT1,"Sep 1st, 2015",Ring Bus,System Shared,350 MHz,System Shared,96 / 12 / 2,15
HD Graphics 515,Skylake GT2,"Sep 1st, 2015",Ring Bus,System Shared,300 MHz,System Shared,192 / 24 / 3,15
HD Graphics 520,Skylake GT2,"Sep 1st, 2015",Ring Bus,System Shared,300 MHz,System Shared,192 / 24 / 3,15
HD Graphics 530,Skylake GT2,"Sep 1st, 2015",Ring Bus,System Shared,350 MHz,System Shared,192 / 24 / 3,15
HD Graphics 530,Skylake GT2,"Sep 1st, 2015",Ring Bus,System Shared,350 MHz,System Shared,192 / 24 / 3,15
HD Graphics 5300,Broadwell GT2,"Sep 5th, 2014",Ring Bus,System Shared,300 MHz,System Shared,192 / 24 / 3,15
