name,gpu_chip,released,bus,memory,gpu_clock,memory_clock,shaders/TMUs/ROPs,TDP
Core i5-1155G7,Tiger Lake-U,4  / 8,2.5 to 4.5 GHz,BGA 1449,10 nm,8MB,28 W,28
Core i5-1240P,Alder Lake-P,12  / 16,1.7 to 4.4 GHz,BGA 1744,10 nm,12MB,28 W,28
Core i5-1250P,Alder Lake-P,12  / 16,1.7 to 4.4 GHz,BGA 1744,10 nm,12MB,28 W,28
Core i5-1340P,Raptor Lake-P,12  / 16,1.9 to 4.6 GHz,BGA 1744,10 nm,18MB,28 W,28
Core i5-1350P,Raptor Lake-P,12  / 16,1.9 to 4.7 GHz,BGA 1744,10 nm,18MB,28 W,28
Core i5-4258U,Haswell,2  / 4,2.4 to 2.9 GHz,BGA 1168,22 nm,3MB,28 W,28
Core i5-4288U,Haswell,2  / 4,2.6 to 3.1 GHz,BGA 1168,22 nm,3MB,28 W,28
Core i5-5257U,Broadwell-U,2  / 4,2.7 to 3.1 GHz,BGA 1168,14 nm,3MB,28 W,28
Core i5-5287U,Broadwell-U,2  / 4,2.9 to 3.3 GHz,BGA 1168,14 nm,3MB,28 W,28
Core i5-8259U,Coffee Lake-U,4  / 8,2.3 to 3.8 GHz,BGA 1356,14 nm,6MB,28 W,28
Core i5-8265U,Whiskey Lake-U,4  / 8,1.6 to 4.1 GHz,BGA 1440,14 nm,6MB,28 W,28
Core i5-8269U,Kaby Lake-R,4  / 8,2.6 to 4.2 GHz,BGA 1356,14 nm,6MB,28 W,28
Core i7-1068NG7,Ice Lake-U,4  / 8,2.3 to 4.1 GHz,BGA 1526,10 nm,8MB,28 W,28
Core i7-11370H,Tiger Lake-H,4  / 8,3 to 4.8 GHz,BGA 1449,10 nm,12MB,28 W,28
Core i7-11375H,Tiger Lake-H,4  / 8,3 to 5 GHz,BGA 1449,10 nm,12MB,28 W,28
Core i7-11390H,Tiger Lake-H,4  / 8,2.9 to 5 GHz,BGA 1449,10 nm,12MB,28 W,28
Core i7-1165G7,Tiger Lake-U,4  / 8,2.8 to 4.7 GHz,BGA 1449,10 nm,12MB,28 W,28
Core i7-1185G7,Tiger Lake-U,4  / 8,3 to 4.8 GHz,BGA 1449,10 nm,12MB,28 W,28
Core i7-1195G7,Tiger Lake-U,4  / 8,2.9 to 5 GHz,BGA 1449,10 nm,12MB,28 W,28
Core i7-1260P,Alder Lake-P,12  / 16,2.1 to 4.7 GHz,BGA 1744,10 nm,18MB,28 W,28
Core i7-1270P,Alder Lake-P,12  / 16,2.2 to 4.8 GHz,BGA 1744,10 nm,18MB,28 W,28
Core i7-1280P,Alder Lake-P,14  / 20,1.8 to 4.8 GHz,BGA 1744,10 nm,24MB,28 W,28
Core i7-1360P,Raptor Lake-P,12  / 16,2.2 to 5 GHz,BGA 1744,10 nm,18MB,28 W,28
Core i7-1370P,Raptor Lake-P,14  / 20,1.9 to 5.2 GHz,BGA 1744,10 nm,24MB,28 W,28
Core i7-4558U,Haswell-ULT,2  / 4,2.8 to 3.3 GHz,BGA 1168,22 nm,4MB,28 W,28
Core i7-5557U,Broadwell-U,2  / 4,3.1 to 3.4 GHz,BGA 1168,14 nm,4MB,28 W,28
Core i7-8559U,Kaby Lake-R,4  / 8,2.7 to 4.5 GHz,BGA 1356,14 nm,8MB,28 W,28
Core i7-8565U,Whiskey Lake-U,4  / 8,1.8 to 4.6 GHz,BGA 1440,14 nm,8MB,28 W,28
Nano QuadCore L4700,CNQ,4,1200 to 1466 MHz,VIA nanoBGA2,40 nm,N/A,28 W,28
Nano QuadCore L4800,CNQ,4,1466 to 1600 MHz,VIA nanoBGA2,40 nm,N/A,28 W,28
Pentium III 1000,Coppermine T,1,1000 MHz,Socket 370,180 nm,N/A,29 W,29
Pentium III 1133,Tualatin,1,1133 MHz,Socket 370,130 nm,N/A,29 W,29
Pentium III 1133,Coppermine T,1,1133 MHz,Socket 370,180 nm,N/A,29 W,29
Pentium III 1133,Coppermine,1,1133 MHz,Socket 370,180 nm,N/A,29 W,29
Pentium III 1133S,Tualatin,1,1133 MHz,Socket 370,130 nm,N/A,29 W,29
Pentium III Xeon 700 2.8V,Cascades-2M,1,700 MHz,Slot 2,180 nm,N/A,29 W,29
Pentium III Xeon 933 2.8V,Cascades,1,933 MHz,Slot 2,180 nm,N/A,29 W,29
EPYC Embedded 3201,Zen,8,1.5 to 3.1 GHz,BGA SP4r2,14 nm,16MB,30 W,30
Opteron 140 EE,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,30 W,30
Opteron 240 EE,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,30 W,30
Opteron 840 EE,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,30 W,30
Celeron P1053,Jasper Forest,1  / 2,1333 MHz,Socket 1366,45 nm,2MB,30 W,30
Pentium 4-M 1.60,Northwood,1,1600 MHz,Socket 478,130 nm,N/A,30 W,30
Pentium 4-M 1.70,Northwood,1,1700 MHz,Socket 478,130 nm,N/A,30 W,30
Pentium 4-M 1.80,Northwood,1,1800 MHz,Socket 478,130 nm,N/A,30 W,30
Pentium III 1000,Tualatin,1,1000 MHz,Socket 370,130 nm,N/A,30 W,30
Pentium III 1000S,Tualatin,1,1000 MHz,Socket 370,130 nm,N/A,30 W,30
Pentium III 1200,Tualatin,1,1200 MHz,Socket 370,130 nm,N/A,30 W,30
Pentium III 1266S,Tualatin,1,1266 MHz,Socket 370,130 nm,N/A,30 W,30
Pentium III 1333,Tualatin,1,1333 MHz,Socket 370,130 nm,N/A,30 W,30
Pentium III Xeon 1000 2.8V,Cascades,1,1000 MHz,Slot 2,180 nm,N/A,30 W,30
Pentium III Xeon 700 5V-12V,Cascades-2M,1,700 MHz,Slot 2,180 nm,N/A,30 W,30
Pentium III Xeon 700-2M 2.8V,Cascades-2M,1,700 MHz,Slot 2,180 nm,N/A,30 W,30
Pentium III Xeon 700-2M 5V-12V,Cascades-2M,1,700 MHz,Slot 2,180 nm,N/A,30 W,30
Pentium III Xeon 933 5V-12V,Cascades,1,933 MHz,Slot 2,180 nm,N/A,30 W,30
Turion X2 RM-70,Griffin,2,2000 MHz,Socket S1,65 nm,N/A,31 W,31
Core Duo T2050,Yonah,2,1600 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2250,Yonah,2,1733 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2300,Yonah,2,1660 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2400,Yonah,2,1826 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2500,Yonah,2,1992 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2600,Yonah,2,2.166 GHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2700,Yonah,2,2.333 GHz,Socket 479,65 nm,N/A,31 W,31
Pentium II Xeon 400,Drake,1,400 MHz,Slot 2,unknown,N/A,31 W,31
Pentium III 1400,Tualatin,1,1400 MHz,Socket 370,130 nm,N/A,31 W,31
Pentium III Xeon 1000 5V-12V,Cascades,1,1000 MHz,Slot 2,180 nm,N/A,31 W,31
Athlon 64 2700+,NewCastle,1,1600 MHz,Socket 754,130 nm,N/A,32 W,32
Athlon 64 2800+,NewCastle,1,1800 MHz,Socket 754,130 nm,N/A,32 W,32
Athlon 64 3000+,NewCastle,1,1800 MHz,Socket 754,130 nm,N/A,32 W,32
Opteron A1150,Seattle,8,1700 MHz,Socket SP1,28 nm,8MB,32 W,32
Opteron A1170,Seattle,8,2000 MHz,Socket SP1,28 nm,8MB,32 W,32
Turion 64 ML-28,Lancaster,1,1600 MHz,Socket 754,90 nm,N/A,32 W,32
Turion X2 Ultra ZM-80,Griffin,2,2.1 GHz,Socket S1,65 nm,N/A,32 W,32
Pentium 4-M 1.90,Northwood,1,1900 MHz,Socket 478,130 nm,N/A,32 W,32
Pentium 4-M 2.00,Northwood,1,2000 MHz,Socket 478,130 nm,N/A,32 W,32
Pentium III 1400S,Tualatin,1,1400 MHz,Socket 370,130 nm,N/A,32 W,32
Pentium III Xeon 550,Tanner,1,550 MHz,Slot 2,unknown,N/A,34 W,34
Athlon 200GE,Zen,2  / 4,3.2 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon 220GE,Zen,2  / 4,3.4 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon 240GE,Zen,2  / 4,3.5 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon 3000G,Zen,2  / 4,3.5 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon Gold 3150GE,Dali,4,3.5 to 3.8 GHz,Socket AM4,12 nm,4MB,35 W,35
Athlon Gold PRO 3150GE,Dali,4,3.5 to 3.8 GHz,Socket AM4,12 nm,4MB,35 W,35
Athlon PRO 200GE,Zen,2,3.2 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon Silver 3050GE,Dali,2  / 4,3.4 GHz,Socket AM4,12 nm,4MB,35 W,35
Athlon Silver PRO 3125GE,Dali,2  / 4,3.4 GHz,Socket AM4,12 nm,4MB,35 W,35
Ryzen 3 2200GE,Raven Ridge,4,3.2 to 3.6 GHz,Socket AM4,14 nm,4MB,35 W,35
Ryzen 3 3200GE,Picasso,4,3.3 to 4 GHz,Socket AM4,12 nm,4MB,35 W,35
Ryzen 3 4300GE,Renoir,4  / 8,3.5 to 4 GHz,Socket AM4,7 nm,4MB,35 W,35
Ryzen 3 PRO 2200GE,Raven Ridge,4,3.2 to 3.6 GHz,Socket AM4,14 nm,4MB,35 W,35
Ryzen 3 PRO 3200GE,Picasso,4,3.3 to 4 GHz,Socket AM4,12 nm,4MB,35 W,35
Ryzen 3 PRO 4350GE,Renoir,4  / 8,3.5 to 4 GHz,Socket AM4,7 nm,4MB,35 W,35
Ryzen 3 PRO 5350GE,Cezanne,4  / 8,3.6 to 4.2 GHz,Socket AM4,7 nm,8MB,35 W,35
Ryzen 5 2400GE,Raven Ridge,4  / 8,3.2 to 3.8 GHz,Socket AM4,14 nm,4MB,35 W,35
Ryzen 5 3400GE,Picasso,4  / 8,3.3 to 4 GHz,Socket AM4,12 nm,4MB,35 W,35
Ryzen 5 3550H,Picasso,4  / 8,2.1 to 3.7 GHz,Socket FP5,12 nm,4MB,35 W,35
Ryzen 5 4600GE,Renoir,6  / 12,3.3 to 4.2 GHz,Socket AM4,7 nm,8MB,35 W,35
Ryzen 5 4600HS,Renoir,6  / 12,3 to 4 GHz,Socket FP6,7 nm,11MB,35 W,35
Ryzen 5 6600HS,Rembrandt,6  / 12,3.3 to 4.5 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen 5 7535H,Rembrandt-R,6  / 12,3.3 to 4.55 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen 5 7535HS,Rembrandt-R,6  / 12,3.3 to 4.55 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen 5 7640HS,Phoenix,6  / 12,4.3 to 5 GHz,Socket FP8,4 nm,16MB,35 W,35
Ryzen 5 PRO 2400GE,Raven Ridge,4  / 8,3.2 to 3.8 GHz,Socket AM4,14 nm,4MB,35 W,35
Ryzen 5 PRO 3400GE,Picasso,4  / 8,3.3 to 4 GHz,Socket AM4,12 nm,4MB,35 W,35
Ryzen 5 PRO 4650GE,Renoir,6  / 12,3.3 to 4.2 GHz,Socket AM4,7 nm,8MB,35 W,35
Ryzen 5 PRO 5650GE,Cezanne,6  / 12,3.4 to 4.4 GHz,Socket AM4,7 nm,16MB,35 W,35
Ryzen 5 PRO 6650HS,Rembrandt,6  / 12,3.3 to 4.5 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen 7 3750H,Picasso,4  / 8,2.3 to 4 GHz,Socket FP5,12 nm,4MB,35 W,35
Ryzen 7 4700GE,Renoir,8  / 16,3.1 to 4.3 GHz,Socket AM4,7 nm,8MB,35 W,35
Ryzen 7 4800HS,Renoir,8  / 16,2.9 to 4.2 GHz,Socket FP6,7 nm,12MB,35 W,35
Ryzen 7 5800HS,Cezanne,8  / 16,2.8 to 4.4 GHz,Socket FP6,7 nm,16MB,35 W,35
Ryzen 7 6800HS,Rembrandt,8  / 16,3.2 to 4.7 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen 7 7735H,Rembrandt-R,8  / 16,3.2 to 4.75 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen 7 7735HS,Rembrandt-R,8  / 16,3.2 to 4.75 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen 7 7840HS,Phoenix,8  / 16,3.8 to 5.1 GHz,Socket FP8,4 nm,16MB,35 W,35
Ryzen 7 PRO 4750GE,Renoir,8  / 16,3.1 to 4.3 GHz,Socket AM4,7 nm,8MB,35 W,35
Ryzen 7 PRO 5750GE,Cezanne,8  / 16,3.2 to 4.6 GHz,Socket AM4,7 nm,16MB,35 W,35
Ryzen 7 PRO 6850HS,Rembrandt,8  / 16,3.2 to 4.7 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen 9 4900HS,Renoir,8  / 16,3 to 4.3 GHz,Socket FP6,7 nm,12MB,35 W,35
Ryzen 9 5980HS,Cezanne,8  / 16,3 to 4.8 GHz,Socket FP6,7 nm,16MB,35 W,35
Ryzen 9 6900HS,Rembrandt,8  / 16,3.3 to 4.9 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen 9 7940HS,Phoenix,8  / 16,4 to 5.2 GHz,Socket FP8,4 nm,16MB,35 W,35
Ryzen 9 PRO 6950HS,Rembrandt,8  / 16,3.3 to 4.9 GHz,Socket FP7,6 nm,16MB,35 W,35
Ryzen Embedded V2546,Renoir,6  / 12,3 to 3.95 GHz,Socket FP6,7 nm,8MB,35 W,35
Ryzen Embedded V2748,Renoir,8  / 16,2.9 to 4.25 GHz,Socket FP6,7 nm,8MB,35 W,35
Celeron G4900T,Coffee Lake,2,2.9 GHz,Socket 1151,14 nm,2MB,35 W,35
Celeron G6900T,Alder Lake-S,2,2.8 GHz,Socket 1700,10 nm,4MB,35 W,35
Celeron G6900TE,Alder Lake-S,2,2.4 GHz,Socket 1700,10 nm,4MB,35 W,35
Core i3-10105T,Comet Lake-R,4  / 8,3 to 3.9 GHz,Socket 1200,14 nm,6MB,35 W,35
Core i3-10305T,Comet Lake-R,4  / 8,3 to 4 GHz,Socket 1200,14 nm,8MB,35 W,35
Core i3-12100T,Alder Lake-S,4  / 8,2.2 to 4.1 GHz,Socket 1700,10 nm,12MB,35 W,35
Core i3-12100TE,Alder Lake-S,4  / 8,2.1 to 4 GHz,Socket 1700,10 nm,12MB,35 W,35
Core i3-12300T,Alder Lake-S,4  / 8,2.3 to 4.2 GHz,Socket 1700,10 nm,12MB,35 W,35
Core i3-13100T,Raptor Lake-S,4  / 8,2.5 to 4.2 GHz,Socket 1700,10 nm,12MB,35 W,35
Core i3-13100TE,Raptor Lake-S,4  / 8,2.4 to 4.1 GHz,Socket 1700,10 nm,12MB,35 W,35
Core i3-9100T,Coffee Lake,4,3.1 to 3.7 GHz,Socket 1151,14 nm,6MB,35 W,35
Core i3-9100TE,Coffee Lake,4,2.2 to 3.2 GHz,Socket 1151,14 nm,6MB,35 W,35
Core i5-11260H,Tiger Lake-H,6  / 12,2.1 to 4.4 GHz,BGA 1787,10 nm,12MB,35 W,35
Core i5-11400H,Tiger Lake-H,6  / 12,2.2 to 4.5 GHz,BGA 1787,10 nm,12MB,35 W,35
Core i5-11400T,Rocket Lake,6  / 12,1.3 to 3.7 GHz,Socket 1200,14 nm,12MB,35 W,35
Core i5-11500H,Tiger Lake-H,6  / 12,2.4 to 4.6 GHz,BGA 1787,10 nm,12MB,35 W,35
Core i5-11500T,Rocket Lake,6  / 12,1.5 to 3.9 GHz,Socket 1200,14 nm,12MB,35 W,35
Core i5-11600T,Rocket Lake,6  / 12,1.7 to 4.1 GHz,Socket 1200,14 nm,12MB,35 W,35
Core i5-12400T,Alder Lake-S,6  / 12,1.8 to 4.2 GHz,Socket 1700,10 nm,18MB,35 W,35
Core i5-12500T,Alder Lake-S,6  / 12,2 to 4.4 GHz,Socket 1700,10 nm,18MB,35 W,35
Core i5-12500TE,Alder Lake-S,6  / 12,1.9 to 4.3 GHz,Socket 1700,10 nm,18MB,35 W,35
Core i5-12600T,Alder Lake-S,6  / 12,2.1 to 4.6 GHz,Socket 1700,10 nm,18MB,35 W,35
Core i5-13400T,Raptor Lake-S,10  / 16,1.3 to 4.4 GHz,Socket 1700,10 nm,20MB,35 W,35
Core i5-13500T,Raptor Lake-S,14  / 20,1.6 to 4.6 GHz,Socket 1700,10 nm,24MB,35 W,35
Core i5-13500TE,Raptor Lake-S,14  / 20,1.3 to 4.5 GHz,Socket 1700,10 nm,24MB,35 W,35
Core i5-13600T,Raptor Lake-S,14  / 20,1.8 to 4.8 GHz,Socket 1700,10 nm,24MB,35 W,35
Core i5-8420T,Coffee Lake,6,1.8 to 3.4 GHz,Socket 1151,14 nm,9MB,35 W,35
Core i5-9400T,Coffee Lake,6,1.8 to 3.4 GHz,Socket 1151,14 nm,9MB,35 W,35
Core i7-11600H,Tiger Lake-H,6  / 12,2.5 to 4.6 GHz,BGA 1787,10 nm,18MB,35 W,35
Core i7-11700T,Rocket Lake,8  / 16,1.4 to 4.6 GHz,Socket 1200,14 nm,16MB,35 W,35
Core i7-11800H,Tiger Lake-H,8  / 16,1.9 to 4.6 GHz,BGA 1787,10 nm,24MB,35 W,35
Core i7-11850H,Tiger Lake-H,8  / 16,2.1 to 4.8 GHz,BGA 1787,10 nm,24MB,35 W,35
Core i7-12700T,Alder Lake-S,12  / 20,1.4 to 4.7 GHz,Socket 1700,10 nm,25MB,35 W,35
Core i7-12700TE,Alder Lake-S,12  / 20,1.4 to 4.6 GHz,Socket 1700,10 nm,25MB,35 W,35
Core i7-13700T,Raptor Lake-S,16  / 24,1.4 to 4.9 GHz,Socket 1700,10 nm,30MB,35 W,35
Core i7-13700TE,Raptor Lake-S,16  / 24,1.1 to 4.8 GHz,Socket 1700,10 nm,30MB,35 W,35
Core i7-8670T,Coffee Lake,6  / 12,2.3 to 3.7 GHz,Socket 1151,14 nm,12MB,35 W,35
Core i7-9700T,Coffee Lake,8,2 to 4.3 GHz,Socket 1151,14 nm,12MB,35 W,35
Core i9-11900H,Tiger Lake-H,8  / 16,2.1 to 4.9 GHz,BGA 1787,10 nm,24MB,35 W,35
Core i9-11900T,Rocket Lake,8  / 16,1.5 to 4.9 GHz,Socket 1200,14 nm,16MB,35 W,35
Core i9-11950H,Tiger Lake-H,8  / 16,2.1 to 5 GHz,BGA 1787,10 nm,24MB,35 W,35
Core i9-12900T,Alder Lake-S,16  / 24,1.4 to 4.9 GHz,Socket 1700,10 nm,30MB,35 W,35
Core i9-12900TE,Alder Lake-S,16  / 24,1.1 to 4.8 GHz,Socket 1700,10 nm,30MB,35 W,35
Core i9-13900T,Raptor Lake-S,24  / 32,1.1 to 5.3 GHz,Socket 1700,10 nm,36MB,35 W,35
Core i9-13900TE,Raptor Lake-S,24  / 32,1 to 5 GHz,Socket 1700,10 nm,36MB,35 W,35
Core i9-9900T,Coffee Lake-R,8  / 16,2.1 to 4.4 GHz,Socket 1151,14 nm,16MB,35 W,35
Pentium Gold G5400T,Coffee Lake,2  / 4,3.1 GHz,Socket 1151,14 nm,4MB,35 W,35
Pentium Gold G6405T,Comet Lake-R,2  / 4,3.5 GHz,Socket 1200,14 nm,4MB,35 W,35
Pentium Gold G6505T,Comet Lake-R,2  / 4,3.6 GHz,Socket 1200,14 nm,4MB,35 W,35
Pentium Gold G7400T,Alder Lake-S,2  / 4,3.1 GHz,Socket 1700,10 nm,6MB,35 W,35
Pentium Gold G7400TE,Alder Lake-S,2  / 4,3 GHz,Socket 1700,10 nm,6MB,35 W,35
Xeon W-11855M,Tiger Lake-H,6  / 12,3.2 to 4.9 GHz,BGA 1787,10 nm,18MB,35 W,35
Xeon W-11955M,Tiger Lake-H,8  / 16,2.1 to 5 GHz,BGA 1499,10 nm,24MB,35 W,35
Pentium III Xeon 500,Tanner,1,500 MHz,Slot 2,unknown,N/A,36 W,36
Pentium III Xeon 900 2.8V,Cascades-2M,1,900 MHz,Slot 2,180 nm,N/A,36 W,36
Pentium III Xeon 900 5V-12V,Cascades-2M,1,900 MHz,Slot 2,180 nm,N/A,36 W,36
Celeron 2950M,Haswell,2,2000 MHz,Socket G2 (988B),22 nm,2MB,37 W,37
Celeron 2950M,Haswell,2,2000 MHz,Socket G3,22 nm,2MB,37 W,37
Core i3-4000M,Haswell,2  / 4,2.4 GHz,Socket G3,22 nm,3MB,37 W,37
Core i3-4100E,Haswell,2  / 4,2.4 GHz,BGA 1364,22 nm,3MB,37 W,37
Core i5-4300M,Haswell,2  / 4,2.6 to 3.6 GHz,Socket G3,22 nm,3MB,37 W,37
Core i5-4330M,Haswell,2  / 4,2.8 to 3.8 GHz,Socket G3,22 nm,3MB,37 W,37
Core i7-4600M,Haswell,2  / 4,2.9 to 3.6 GHz,Socket G3,22 nm,4MB,37 W,37
Core i7-4610M,Haswell,2  / 4,3 to 3.7 GHz,Socket G3,22 nm,4MB,37 W,37
Core i7-4702HQ,Crystalwell,4  / 8,2.2 to 3.2 GHz,BGA 1364,22 nm,6MB,37 W,37
Core i7-4702MQ,Haswell,4  / 8,2.2 to 3.2 GHz,Socket G3,22 nm,6MB,37 W,37
Core i7-4712HQ,Haswell,4  / 8,2.3 to 3.3 GHz,BGA 1364,22 nm,6MB,37 W,37
Core i7-4712MQ,Haswell,4  / 8,2.3 to 3.3 GHz,Socket G3,22 nm,6MB,37 W,37
Pentium 3550M,Haswell,2,2.3 GHz,Socket G3,22 nm,2MB,37 W,37
Pentium III Xeon 500 2MB,Tanner,1,500 MHz,Slot 2,unknown,N/A,37 W,37
Athlon 600,Thunderbird,1,600 MHz,Socket A,180 nm,N/A,38 W,38
Athlon 650,Thunderbird,1,650 MHz,Socket A,180 nm,N/A,38 W,38
Pentium II Xeon 400 1MB,Drake,1,400 MHz,Slot 2,unknown,N/A,38 W,38
Pentium III  800,Coppermine T,1,800 MHz,Socket 370,180 nm,N/A,38 W,38
Pentium III  866,Coppermine T,1,866 MHz,Socket 370,180 nm,N/A,38 W,38
Xeon L5508,Gainestown,2  / 4,2 to 2.4 GHz,Socket 1366,45 nm,8MB,38 W,38
Athlon 700,Thunderbird,1,700 MHz,Socket A,180 nm,N/A,40 W,40
Pentium 1405 V2,Ivy Bridge-EN,2,1400 MHz,Socket 1356,22 nm,6MB,40 W,40
Xeon 5148,Woodcrest,2,2.333 GHz,Socket 771,65 nm,N/A,40 W,40
Xeon E3-1125C,Gladden,4,2000 MHz,BGA 1283,32 nm,8MB,40 W,40
Xeon L5609,Westmere-EP,4,1866 MHz,Socket 1366,32 nm,12MB,40 W,40
Xeon L5618,Westmere-EP,4  / 8,1.866 to 2.266 GHz,Socket 1366,32 nm,12MB,40 W,40
Xeon L5630,Westmere-EP,4  / 8,2.133 to 2.4 GHz,Socket 1366,32 nm,12MB,40 W,40
Pentium III Xeon 550 2MB,Tanner,1,550 MHz,Slot 2,unknown,N/A,41 W,41
Athlon 750,Thunderbird,1,750 MHz,Socket A,180 nm,N/A,43 W,43
Pentium II Xeon 450 1MB,Drake,1,450 MHz,Slot 2,unknown,N/A,43 W,43
Core 2 Duo E8135,Penryn,2,2.667 GHz,Socket P,45 nm,N/A,44 W,44
Core 2 Duo E8235,Penryn,2,2.8 GHz,Socket P,45 nm,N/A,44 W,44
Core 2 Duo E8335,Penryn,2,2.933 GHz,Socket P,45 nm,N/A,44 W,44
Core 2 Duo E8435,Penryn,2,3.067 GHz,Socket P,45 nm,N/A,44 W,44
Core 2 Extreme X7900,Merom XE,2,2.8 GHz,Socket P,65 nm,N/A,44 W,44
Core 2 Extreme X9000,Penryn XE,2,2.8 GHz,Socket P,45 nm,N/A,44 W,44
Core 2 Extreme X9100,Penryn XE,2,3.067 GHz,Socket P,45 nm,N/A,44 W,44
A10-6700T,Richland,4,2.5 to 3.5 GHz,Socket FM2,32 nm,N/A,45 W,45
A4-3330MX,Llano,2,2.2 to 2.6 GHz,Socket FS1,32 nm,N/A,45 W,45
A6-3430MX,Llano,4,1.7 to 2.4 GHz,Socket FS1,32 nm,N/A,45 W,45
A6-7480,Carrizo,2,3.5 to 3.8 GHz,Socket FM2+,28 nm,N/A,45 W,45
A8-6500T,Richland,4,2.1 to 3.1 GHz,Socket FM2,32 nm,N/A,45 W,45
A8-7680,Carrizo,4,3.5 to 3.8 GHz,Socket FM2+,28 nm,N/A,45 W,45
EPYC Embedded 3151,Zen,4  / 8,2.7 to 2.9 GHz,BGA SP4r2,14 nm,16MB,45 W,45
Opteron 3350 HE,Delhi,4,2.8 to 3.8 GHz,Socket AM3+,32 nm,8MB,45 W,45
Ryzen 5 6600H,Rembrandt,6  / 12,3.3 to 4.5 GHz,Socket FP7,6 nm,16MB,45 W,45
Ryzen 5 7645HX,Dragon Range,6  / 12,4 to 5 GHz,Socket FL1,5 nm,32MB,45 W,45
Ryzen 5 PRO 6650H,Rembrandt,6  / 12,3.3 to 4.5 GHz,Socket FP7,6 nm,16MB,45 W,45
Ryzen 7 5800H,Cezanne,8  / 16,3.2 to 4.4 GHz,Socket FP6,7 nm,16MB,45 W,45
Ryzen 7 6800H,Rembrandt,8  / 16,3.2 to 4.7 GHz,Socket FP7,6 nm,16MB,45 W,45
Ryzen 7 PRO 6850H,Rembrandt,8  / 16,3.2 to 4.7 GHz,Socket FP7,6 nm,16MB,45 W,45
Ryzen 9 5900HX,Cezanne,8  / 16,3.3 to 4.6 GHz,Socket FP6,7 nm,16MB,45 W,45
Ryzen 9 6900HX,Rembrandt,8  / 16,3.3 to 4.9 GHz,Socket FP7,6 nm,16MB,45 W,45
Ryzen 9 6980HS,Rembrandt,8  / 16,3.3 to 5 GHz,Socket FP7,6 nm,16MB,45 W,45
Ryzen 9 6980HX,Rembrandt,8  / 16,3.3 to 5 GHz,Socket FP7,6 nm,16MB,45 W,45
Ryzen 9 PRO 6950H,Rembrandt,8  / 16,3.3 to 4.9 GHz,Socket FP7,6 nm,16MB,45 W,45
Ryzen Embedded V1756B,Zen,4  / 8,3.25 to 3.6 GHz,Socket FP5,14 nm,2MB,45 W,45
Ryzen Embedded V1807B,Zen,4  / 8,3.35 to 3.8 GHz,Socket FP5,14 nm,2MB,45 W,45
Core i3-12300HE,Alder Lake-H,8  / 12,1.9 to 4.3 GHz,BGA 1744,10 nm,12MB,45 W,45
Core i5-10200H,Comet Lake-H,4  / 8,2.4 to 4.1 GHz,BGA 1440,14 nm,6MB,45 W,45
Core i5-10300H,Comet Lake-H,4  / 8,2.5 to 4.5 GHz,BGA 1440,14 nm,6MB,45 W,45
Core i5-10400H,Comet Lake-H,4  / 8,2.6 to 4.6 GHz,BGA 1440,14 nm,6MB,45 W,45
Core i5-12450H,Alder Lake-H,8  / 12,2 to 4.4 GHz,BGA 1744,10 nm,12MB,45 W,45
Core i5-12500H,Alder Lake-H,12  / 16,2.5 to 4.5 GHz,BGA 1744,10 nm,18MB,45 W,45
Core i5-12600H,Alder Lake-H,12  / 16,2.7 to 4.5 GHz,BGA 1744,10 nm,18MB,45 W,45
Core i5-12600HE,Alder Lake-H,12  / 16,2.5 to 4.5 GHz,BGA 1744,10 nm,18MB,45 W,45
Core i5-13420H,Raptor Lake-H,8  / 12,2.1 to 4.6 GHz,BGA 1744,10 nm,12MB,45 W,45
Core i5-13500H,Raptor Lake-H,12  / 16,2.6 to 4.7 GHz,BGA 1744,10 nm,18MB,45 W,45
Core i5-13505H,Raptor Lake-H,12  / 16,2.6 to 4.7 GHz,BGA 1744,10 nm,18MB,45 W,45
Core i5-13600H,Raptor Lake-H,12  / 16,2.8 to 4.8 GHz,BGA 1744,10 nm,18MB,45 W,45
